leto,ime_drzave,ime_izvajalca,naslov_pesmi,mesto,tocke_v_finalu,youtube_link
2012,Bosnia & Herzegovina,Maya Sar,Korake Ti Znam,18.0,55.0,https://youtube.com/watch?v=81hIbZNoFU8
2012,Ireland,Jedward,Waterline,19.0,46.0,https://youtube.com/watch?v=e1cuimKLNpU
2012,Iceland,Greta Salóme & Jónsi,Never Forget,20.0,46.0,https://youtube.com/watch?v=zRqmHRbJvTo
2012,Malta,Kurt Calleja,This Is The Night,21.0,41.0,https://youtube.com/watch?v=lUnEZp-qHxs
2012,France,Anggun,Echo (You And I),22.0,21.0,https://youtube.com/watch?v=0DZ7DbdeOeE
2012,Denmark,Soluna Samay,Should've Known Better,23.0,21.0,https://youtube.com/watch?v=U5X2r_t-KBk
2012,Hungary,Compact Disco,Sound Of Our Hearts,24.0,19.0,https://youtube.com/watch?v=sw85G2AlU2c
2012,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,25.0,12.0,https://youtube.com/watch?v=rXw4Q5jbNqQ
2012,Norway,Tooji,Stay,26.0,7.0,https://youtube.com/watch?v=-ZaxIY1VAbM
2012,Bulgaria,Sofi Marinova,Love Unlimited,27.0,,https://youtube.com/watch?v=WAUAETPcFBI
2012,Switzerland,Sinplus,Unbreakable,28.0,,https://youtube.com/watch?v=lkMSptuVqHQ
2012,Croatia,Nina Badrić,Nebo,29.0,,https://youtube.com/watch?v=QzdI4yuqwzY
2012,Finland,Pernilla,När Jag Blundar,30.0,,https://youtube.com/watch?v=MRC5NzxmrAA
2012,Portugal,Filipa Sousa,Vida Minha,31.0,,https://youtube.com/watch?v=fk5i7Hfyy3o
2012,Georgia,Anri Jokhadze,I'm A Joker,32.0,,https://youtube.com/watch?v=xfpKnMBjdrU
2012,Netherlands,Joan Franka,You And Me,33.0,,https://youtube.com/watch?v=JCc0Iiu3DiU
2012,Belarus,Litesound,We Are The Heroes,34.0,,https://youtube.com/watch?v=-JWbOKNaIAo
2012,Israel,Izabo,Time,35.0,,https://youtube.com/watch?v=-uy4ggnLzKI
2012,San Marino,Valentina Monetta,The Social Network Song (Oh Oh – Uh - Oh Oh),36.0,,https://youtube.com/watch?v=y7IoR_5HPQ0
2012,Slovenia,Eva Boto,Verjamem,37.0,,https://youtube.com/watch?v=jEHNRKnrWiU
2012,Slovakia,Max Jason Mai,Don't Close Your Eyes,38.0,,https://youtube.com/watch?v=OTXz60794lI
2012,Montenegro,Rambo Amadeus,Euro Neuro,39.0,,https://youtube.com/watch?v=JHnqF5PLP2w
2012,Latvia,Anmary,Beautiful Song,40.0,,https://youtube.com/watch?v=KAxYfMFE_94
2012,Belgium,Iris,Would You?,41.0,,https://youtube.com/watch?v=7Z_5s5gnrCM
2012,Austria,Trackshittaz,Woki Mit Deim Popo,42.0,,https://youtube.com/watch?v=b-qu5hGwero
2013,Denmark,Emmelie de Forest,Only Teardrops,1.0,281.0,https://youtube.com/watch?v=p3f9v8ebuD4
2013,Azerbaijan,Farid Mammadov,Hold Me,2.0,234.0,https://youtube.com/watch?v=iN3d_V7KVLE
2013,Ukraine,Zlata Ognevich,Gravity,3.0,214.0,https://youtube.com/watch?v=BMxpv8naRd8
2013,Norway,Margaret Berger,I Feed You My Love,4.0,191.0,https://youtube.com/watch?v=gjm-kCOMaPY
2013,Russia,Dina Garipova,What If,5.0,174.0,https://youtube.com/watch?v=wHNwk3Oez8U
2013,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,6.0,152.0,https://youtube.com/watch?v=_AfrOZersNk
2013,Italy,Marco Mengoni,L'Essenziale,7.0,126.0,https://youtube.com/watch?v=S8oaxDV1q6o
2013,Malta,Gianluca,Tomorrow,8.0,120.0,https://youtube.com/watch?v=VK4TvZeL6c0
2013,Netherlands,Anouk,Birds,9.0,114.0,https://youtube.com/watch?v=n5iazXvMw5o
2013,Hungary,ByeAlex,Kedvesem,10.0,84.0,https://youtube.com/watch?v=rOimfHq76xk
2013,Moldova,Aliona Moon,O Mie,11.0,71.0,https://youtube.com/watch?v=xckgLUv73Jc
2013,Belgium,Roberto Bellarosa,Love Kills,12.0,71.0,https://youtube.com/watch?v=dCl7OUFNSCA
2013,Romania,Cezar,It's My Life,13.0,65.0,https://youtube.com/watch?v=VgHWFiavqjA
2013,Sweden,Robin Stjernberg,You,14.0,62.0,https://youtube.com/watch?v=vtjdTPnCcu0
2013,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,15.0,50.0,https://youtube.com/watch?v=-n3mwx0vQDE
2013,Belarus,Alyona Lanskaya,Solayoh,16.0,48.0,https://youtube.com/watch?v=XKewBfUE2Mg
2013,Iceland,Eythor Ingi,Ég Á Líf,17.0,47.0,https://youtube.com/watch?v=GzE88IYzXLI
2013,Armenia,Dorians,Lonely Planet,18.0,41.0,https://youtube.com/watch?v=UGOSZ7Uufno
2013,United Kingdom,Bonnie Tyler,Believe In Me,19.0,23.0,https://youtube.com/watch?v=-agn-ERgTXA
2013,Estonia,Birgit,Et Uus Saaks Alguse,20.0,19.0,https://youtube.com/watch?v=Ooo6GvZNLhI
2013,Germany,Cascada,Glorious,21.0,18.0,https://youtube.com/watch?v=3HYTd7WDCPg
2013,Lithuania,Andrius Pojavis,Something,22.0,17.0,https://youtube.com/watch?v=0VLhnzk_dAs
2013,France,Amandine Bourgeois,L'enfer Et Moi,23.0,14.0,https://youtube.com/watch?v=hQwiQj5Dyj8
2013,Finland,Krista Siegfrids,Marry Me,24.0,13.0,https://youtube.com/watch?v=dlBXOveVh7c
2013,Spain,ESDM,Contigo Hasta El Final (With You Until The End),25.0,8.0,https://youtube.com/watch?v=5o_DnM_ANF8
2013,Ireland,Ryan Dolan,Only Love Survives,26.0,5.0,https://youtube.com/watch?v=4tgtyl_5x5Y
2013,Serbia,Moje 3,Ljubav Je Svuda,27.0,,https://youtube.com/watch?v=DbAAFijZIxE
2013,San Marino,Valentina Monetta,Crisalide (Vola),28.0,,https://youtube.com/watch?v=YirZIBi2vnY
2013,Bulgaria,"Elitsa Todorova, Stoyan Yankulov",Samo Shampioni,29.0,,https://youtube.com/watch?v=Cb46Mhy_mCI
2013,Montenegro,Who See,Igranka,30.0,,https://youtube.com/watch?v=FR9rtB2ilZU
2013,Switzerland,Takasa,You And Me,31.0,,https://youtube.com/watch?v=Ba6ovg4yAto
2013,Croatia,Klapa s mora,Mižerja,32.0,,https://youtube.com/watch?v=FYm4sGd-qP0
2013,Israel,Moran Mazor,Rak Bishvilo,33.0,,https://youtube.com/watch?v=BjbcD72OaI4
2013,Albania,Adrian Lulgjuraj & Bledar Sejko,Identitet,34.0,,https://youtube.com/watch?v=3u5Se-vJ6MA
2013,Austria,Natália Kelly,Shine,35.0,,https://youtube.com/watch?v=gOJHi6JiKpY
2013,North Macedonia,Esma & Lozano,Pred Da Se Razdeni,36.0,,https://youtube.com/watch?v=Vi1VYsOUCsY
2013,Latvia,PeR,Here We Go,37.0,,https://youtube.com/watch?v=xze_ilAXwWE
2013,Cyprus,Despina Olympiou,An Me Thimasai,38.0,,https://youtube.com/watch?v=Ekx8mT-fR80
2013,Slovenia,Hannah,Straight Into Love,39.0,,https://youtube.com/watch?v=I2_zGcuEuwU
2014,Austria,Conchita Wurst,Rise Like a Phoenix,1.0,290.0,https://youtube.com/watch?v=QRUIava4WRM
2014,Netherlands,The Common Linnets,Calm After The Storm,2.0,238.0,https://youtube.com/watch?v=4ggBPAm5XLA
2014,Sweden,Sanna Nielsen,Undo,3.0,218.0,https://youtube.com/watch?v=5PQJI-3LW-8
2014,Armenia,Aram MP3,Not Alone,4.0,174.0,https://youtube.com/watch?v=oj0oOV-2fRQ
2014,Hungary,András Kállay-Saunders,Running,5.0,143.0,https://youtube.com/watch?v=T_RxJZ3N9kE
2014,Ukraine,Mariya Yaremchuk,Tick - Tock,6.0,113.0,https://youtube.com/watch?v=slHboKF9PIQ
2014,Russia,Tolmachevy Sisters,Shine,7.0,89.0,https://youtube.com/watch?v=BCNN1JAgWqk
2014,Norway,Carl Espen,Silent Storm,8.0,88.0,https://youtube.com/watch?v=BTMli8U17MM
2014,Denmark,Basim,Cliche Love Song,9.0,74.0,https://youtube.com/watch?v=jnCTsJkieY4
2014,Spain,Ruth Lorenzo,Dancing in the rain,10.0,74.0,https://youtube.com/watch?v=-OtuM3Zvkeo
2014,Finland,Softengine,Something Better,11.0,72.0,https://youtube.com/watch?v=3FDWaFfo1CU
2014,Romania,Paula Seling & OVI,Miracle,12.0,72.0,https://youtube.com/watch?v=qN2h6__yJGQ
2014,Switzerland,Sebalter,Hunter Of Stars,13.0,64.0,https://youtube.com/watch?v=DqjoM8ZlyMc
2014,Poland,Donatan & Cleo,My Słowianie - We Are Slavic,14.0,62.0,https://youtube.com/watch?v=VJ920cN2HmA
2014,Iceland,Pollapönk,No Prejudice,15.0,58.0,https://youtube.com/watch?v=U2qAvGsiCmc
2014,Belarus,Teo,Cheesecake,16.0,43.0,https://youtube.com/watch?v=tImGMW-4eHY
2014,United Kingdom,Molly,Children of the Universe,17.0,40.0,https://youtube.com/watch?v=C6w7tmWvm6M
2014,Germany,Elaiza,Is It Right,18.0,39.0,https://youtube.com/watch?v=BFuGH2Kp9dI
2014,Montenegro,Sergej Ćetković,Moj Svijet,19.0,37.0,https://youtube.com/watch?v=6FJtzRSKHKg
2014,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,20.0,35.0,https://youtube.com/watch?v=c9y6A1uXLn8
2014,Italy,Emma,La Mia Città,21.0,33.0,https://youtube.com/watch?v=8W5ZlalAMV8
2014,Azerbaijan,Dilara Kazimova,Start A Fire,22.0,33.0,https://youtube.com/watch?v=5mPUMPcFQAY
2014,Malta,Firelight,Coming Home,23.0,32.0,https://youtube.com/watch?v=E_hT08vzHt8
2014,San Marino,Valentina Monetta,Maybe (Forse),24.0,14.0,https://youtube.com/watch?v=_eZNTBJ-Hyc
